"id";"tmp";"cmd_id";"value";"cmd_name";"enno_serial";"device_name";"createdAt";"updatedAt"
1081045;2021-01-20 16:15:00;249;65.76;FT;"GHA";Hydraulic Unit;;
1081044;2021-01-20 16:00:00;249;64.8;FT;"GHA";Hydraulic Unit;;
1081812;2021-01-20 16:00:00;252;46.28;BT;"GHA";Hydraulic Unit;;
1081043;2021-01-20 15:45:00;249;62.73;FT;"GHA";Hydraulic Unit;;
1081811;2021-01-20 15:45:00;252;46.23;BT;"GHA";Hydraulic Unit;;
1081042;2021-01-20 15:30:00;249;64.31;FT;"GHA";Hydraulic Unit;;
1081810;2021-01-20 15:30:00;252;45.1;BT;"GHA";Hydraulic Unit;;
1081041;2021-01-20 15:15:00;249;61.29;FT;"GHA";Hydraulic Unit;;
1081809;2021-01-20 15:15:00;252;42.77;BT;"GHA";Hydraulic Unit;;
1081808;2021-01-20 15:00:00;252;43.37;BT;"GHA";Hydraulic Unit;;
1081040;2021-01-20 15:00:00;249;60.62;FT;"GHA";Hydraulic Unit;;
1081039;2021-01-20 14:45:00;249;61.87;FT;"GHA";Hydraulic Unit;;
1081807;2021-01-20 14:45:00;252;45.28;BT;"GHA";Hydraulic Unit;;
1081806;2021-01-20 14:30:00;252;46.43;BT;"GHA";Hydraulic Unit;;
1081038;2021-01-20 14:30:00;249;59.24;FT;"GHA";Hydraulic Unit;;
1081805;2021-01-20 14:15:00;252;46.91;BT;"GHA";Hydraulic Unit;;
1081037;2021-01-20 14:15:00;249;62.75;FT;"GHA";Hydraulic Unit;;
1081036;2021-01-20 14:00:00;249;60.83;FT;"GHA";Hydraulic Unit;;
1081804;2021-01-20 14:00:00;252;47.38;BT;"GHA";Hydraulic Unit;;
1081035;2021-01-20 13:45:00;249;62.11;FT;"GHA";Hydraulic Unit;;
1081803;2021-01-20 13:45:00;252;45.55;BT;"GHA";Hydraulic Unit;;
1081802;2021-01-20 13:30:00;252;44.18;BT;"GHA";Hydraulic Unit;;
1081034;2021-01-20 13:30:00;249;59.82;FT;"GHA";Hydraulic Unit;;
1081033;2021-01-20 13:15:00;249;63.36;FT;"GHA";Hydraulic Unit;;
1081801;2021-01-20 13:15:00;252;45.54;BT;"GHA";Hydraulic Unit;;
1081800;2021-01-20 13:00:00;252;43.94;BT;"GHA";Hydraulic Unit;;
1081032;2021-01-20 13:00:00;249;59.72;FT;"GHA";Hydraulic Unit;;
1081031;2021-01-20 12:45:00;249;60.5;FT;"GHA";Hydraulic Unit;;
1081799;2021-01-20 12:45:00;252;46.58;BT;"GHA";Hydraulic Unit;;
1081030;2021-01-20 12:30:00;249;60.28;FT;"GHA";Hydraulic Unit;;
1081798;2021-01-20 12:30:00;252;48.34;BT;"GHA";Hydraulic Unit;;
1081797;2021-01-20 12:15:00;252;46.68;BT;"GHA";Hydraulic Unit;;
1081029;2021-01-20 12:15:00;249;68.49;FT;"GHA";Hydraulic Unit;;
1081028;2021-01-20 12:00:00;249;64.26;FT;"GHA";Hydraulic Unit;;
1081796;2021-01-20 12:00:00;252;47.39;BT;"GHA";Hydraulic Unit;;
1081795;2021-01-20 11:45:00;252;44.96;BT;"GHA";Hydraulic Unit;;
1081027;2021-01-20 11:45:00;249;66.13;FT;"GHA";Hydraulic Unit;;
1081794;2021-01-20 11:30:00;252;44.2;BT;"GHA";Hydraulic Unit;;
1081026;2021-01-20 11:30:00;249;60.78;FT;"GHA";Hydraulic Unit;;
1081793;2021-01-20 11:15:00;252;45.43;BT;"GHA";Hydraulic Unit;;
1081025;2021-01-20 11:15:00;249;60.79;FT;"GHA";Hydraulic Unit;;
1081024;2021-01-20 11:00:00;249;63.34;FT;"GHA";Hydraulic Unit;;
1081792;2021-01-20 11:00:00;252;46.35;BT;"GHA";Hydraulic Unit;;
1081023;2021-01-20 10:45:00;249;64.63;FT;"GHA";Hydraulic Unit;;
1081791;2021-01-20 10:45:00;252;44.51;BT;"GHA";Hydraulic Unit;;
1081022;2021-01-20 10:30:00;249;61.65;FT;"GHA";Hydraulic Unit;;
1081790;2021-01-20 10:30:00;252;44.76;BT;"GHA";Hydraulic Unit;;
1081021;2021-01-20 10:15:00;249;62.22;FT;"GHA";Hydraulic Unit;;
1081789;2021-01-20 10:15:00;252;43.38;BT;"GHA";Hydraulic Unit;;
1081020;2021-01-20 10:00:00;249;60.72;FT;"GHA";Hydraulic Unit;;
1081788;2021-01-20 10:00:00;252;45.8;BT;"GHA";Hydraulic Unit;;
1081019;2021-01-20 09:45:00;249;60.16;FT;"GHA";Hydraulic Unit;;
1081787;2021-01-20 09:45:00;252;43.71;BT;"GHA";Hydraulic Unit;;
1081018;2021-01-20 09:30:00;249;64.76;FT;"GHA";Hydraulic Unit;;
1081786;2021-01-20 09:30:00;252;45.4;BT;"GHA";Hydraulic Unit;;
1081017;2021-01-20 09:15:00;249;60.55;FT;"GHA";Hydraulic Unit;;
1081785;2021-01-20 09:15:00;252;45.61;BT;"GHA";Hydraulic Unit;;
1081016;2021-01-20 09:00:00;249;63.2;FT;"GHA";Hydraulic Unit;;
1081784;2021-01-20 09:00:00;252;44.23;BT;"GHA";Hydraulic Unit;;
1081015;2021-01-20 08:45:00;249;60.3;FT;"GHA";Hydraulic Unit;;
1081783;2021-01-20 08:45:00;252;44.67;BT;"GHA";Hydraulic Unit;;
1081782;2021-01-20 08:30:00;252;43.05;BT;"GHA";Hydraulic Unit;;
1081014;2021-01-20 08:30:00;249;59.82;FT;"GHA";Hydraulic Unit;;
1081013;2021-01-20 08:15:00;249;63.64;FT;"GHA";Hydraulic Unit;;
1081781;2021-01-20 08:15:00;252;44.95;BT;"GHA";Hydraulic Unit;;
1081780;2021-01-20 08:00:00;252;45.39;BT;"GHA";Hydraulic Unit;;
1081012;2021-01-20 08:00:00;249;59.28;FT;"GHA";Hydraulic Unit;;
1081011;2021-01-20 07:45:00;249;62.9;FT;"GHA";Hydraulic Unit;;
1081779;2021-01-20 07:45:00;252;47.39;BT;"GHA";Hydraulic Unit;;
1081778;2021-01-20 07:30:00;252;45.67;BT;"GHA";Hydraulic Unit;;
1081010;2021-01-20 07:30:00;249;60.8;FT;"GHA";Hydraulic Unit;;
1081777;2021-01-20 07:15:00;252;48.12;BT;"GHA";Hydraulic Unit;;
1081009;2021-01-20 07:15:00;249;65.3;FT;"GHA";Hydraulic Unit;;
