"tmp";"cmd_id";"value";"cmd_name";"device_name";"key";"id";"createdAt";"updatedAt"
2021-01-01 05:45:00;274;0;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131340;;
2021-01-01 06:00:00;274;0;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131341;;
2021-01-01 06:00:00;264;2;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128940;;
2021-01-01 06:15:00;264;2.2;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128941;;
2021-01-01 06:15:00;274;0;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131342;;
2021-01-01 06:30:00;264;2.2;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128942;;
2021-01-01 06:30:00;274;0;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131343;;
2021-01-01 06:45:00;274;0;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131344;;
2021-01-01 06:45:00;264;2.2;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128943;;
2021-01-01 07:00:00;264;2.2;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128944;;
2021-01-01 07:00:00;274;0;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131345;;
2021-01-01 07:15:00;264;2.3;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128945;;
2021-01-01 07:15:00;274;0;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131346;;
2021-01-01 07:30:00;274;0;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131347;;
2021-01-01 07:30:00;264;2.2;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128946;;
2021-01-01 07:45:00;274;0;gh_globalRadiationHorizPlan_wm2;Meteo Norm;meteonorm/:311314;2131348;;
2021-01-01 07:45:00;264;2.2;tt_airTemperature_degrec;Meteo Norm;meteonorm/:311314;2128947;;
